Species,ID,Center,Strength,
CH4,441CH4,441.0,1.7,
CH4,486CH4,486.0,6.0,
CH4,543CH4,543.0,29.8,
CH4,576CH4,576.0,15.0,
CH4,619CH4,619.0,131.8,
CH4,668CH4,668.0,50.0,
CH4,683CH4,682.5,6.9,
CH4,705CH4,705.0,51.0,
CH4,725CH4,725.0,771.0,
CH4,790CH4,790.0,363.0,
CH4,842CH4,842.0,114.0,
CH4,862CH4,862.0,823.0,
CH4,889CH4,889.0,5753.0,
